Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7,0,280.0,369.0659999992931,275.1646670003538,890.0512920008623,1256.0,0.8138114510200456,0.0,280,290,290,290,890,890,890,890,890,890,890
,Aggregated,7,0,280.0,369.0659999992931,275.1646670003538,890.0512920008623,1256.0,0.8138114510200456,0.0,280,290,290,290,890,890,890,890,890,890,890
