Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7,0,270.0,360.7632144298155,269.72570799989626,852.9948750001495,1256.0,0.8189226539293137,0.0,270,280,310,310,850,850,850,850,850,850,850
,Aggregated,7,0,270.0,360.7632144298155,269.72570799989626,852.9948750001495,1256.0,0.8189226539293137,0.0,270,280,310,310,850,850,850,850,850,850,850
